Occupation,Slug,Parent,Total number of workers,Total median weekly earnings,Men number of workers,Men median weekly earnings,Women number of workers,Women median weekly earnings,Year
"Total, full-time wage and salary workers",total-full-time-wage-and-salary-workers,,"100,457",756,"55,971",832,"44,486",684,2011
"Management, professional, and related occupations",management-professional-and-related-occupations,,"39,791","1,082","19,267","1,269","20,524",941,2011
"Management, business, and financial operations occupations",management-business-and-financial-operations-occupations,management-professional-and-related-occupations,"16,061","1,160","8,676","1,370","7,386",977,2011
Management occupations,management-occupations,management-business-and-financial-operations-occupations,"10,891","1,237","6,451","1,427","4,440","1,018",2011
Chief executives,chief-executives,management-occupations,990,"1,963",745,"2,122",245,"1,464",2011
General and operations managers,general-and-operations-managers,management-occupations,921,"1,191",651,"1,319",270,972,2011
Legislators,legislators,management-occupations,13,-,9,-,4,-,2011
Advertising and promotions managers,advertising-and-promotions-managers,management-occupations,68,"1,164",28,-,40,-,2011
Marketing and sales managers,marketing-and-sales-managers,management-occupations,891,"1,408",499,"1,660",392,"1,127",2011
Public relations and fundraising managers,public-relations-and-fundraising-managers,management-occupations,62,"1,475",33,-,29,-,2011
Administrative services managers,administrative-services-managers,management-occupations,115,"1,021",71,"1,170",44,-,2011
Computer and information systems managers,computer-and-information-systems-managers,management-occupations,530,"1,579",392,"1,595",138,"1,543",2011
Financial managers,financial-managers,management-occupations,"1,044","1,166",477,"1,504",567,991,2011
Compensation and benefits managers,compensation-and-benefits-managers,management-occupations,21,-,7,-,14,-,2011
Human resources managers,human-resources-managers,management-occupations,207,"1,331",58,"1,488",149,"1,273",2011
Training and development managers,training-and-development-managers,management-occupations,36,-,24,-,12,-,2011
Industrial production managers,industrial-production-managers,management-occupations,250,"1,211",204,"1,245",45,-,2011
Purchasing managers,purchasing-managers,management-occupations,183,"1,242",94,"1,368",89,"1,026",2011
"Transportation, storage, and distribution managers",transportation-storage-and-distribution-managers,management-occupations,229,882,196,861,33,-,2011
"Farmers, ranchers, and other agricultural managers",farmers-ranchers-and-other-agricultural-managers,management-occupations,98,800,81,855,17,-,2011
Construction managers,construction-managers,management-occupations,464,"1,268",433,"1,325",31,-,2011
Education administrators,education-administrators,management-occupations,735,"1,228",268,"1,532",467,"1,061",2011
Architectural and engineering managers,architectural-and-engineering-managers,management-occupations,98,"1,914",91,"1,908",7,-,2011
Food service managers,food-service-managers,management-occupations,675,660,361,734,314,599,2011
Funeral service managers,funeral-service-managers,management-occupations,8,-,4,-,5,-,2011
Gaming managers,gaming-managers,management-occupations,22,-,15,-,7,-,2011
Lodging managers,lodging-managers,management-occupations,91,883,36,-,55,841,2011
Medical and health services managers,medical-and-health-services-managers,management-occupations,450,"1,252",125,"1,456",325,"1,166",2011
Natural sciences managers,natural-sciences-managers,management-occupations,12,-,5,-,7,-,2011
Postmasters and mail superintendents,postmasters-and-mail-superintendents,management-occupations,29,-,10,-,19,-,2011
"Property, real estate, and community association managers",property-real-estate-and-community-association-managers,management-occupations,317,921,135,"1,201",182,728,2011
Social and community service managers,social-and-community-service-managers,management-occupations,277,"1,045",81,"1,221",196,973,2011
Emergency management directors,emergency-management-directors,management-occupations,5,-,4,-,1,-,2011
"Managers, all other",managers-all-other,management-occupations,"2,050","1,265","1,313","1,406",737,"1,047",2011
Business and financial operations occupations,business-and-financial-operations-occupations,management-business-and-financial-operations-occupations,"5,170","1,038","2,225","1,225","2,946",937,2011
"Agents and business managers of artists, performers, and athletes",agents-and-business-managers-of-artists-performers-and-athletes,business-and-financial-operations-occupations,25,-,12,-,13,-,2011
"Buyers and purchasing agents, farm products",buyers-and-purchasing-agents-farm-products,business-and-financial-operations-occupations,7,-,5,-,2,-,2011
"Wholesale and retail buyers, except farm products",wholesale-and-retail-buyers-except-farm-products,business-and-financial-operations-occupations,130,882,68,928,62,849,2011
"Purchasing agents, except wholesale, retail, and farm products",purchasing-agents-except-wholesale-retail-and-farm-products,business-and-financial-operations-occupations,226,"1,015",108,"1,129",118,945,2011
"Claims adjusters, appraisers, examiners, and investigators",claims-adjusters-appraisers-examiners-and-investigators,business-and-financial-operations-occupations,271,913,110,"1,077",162,804,2011
Compliance officers,compliance-officers,business-and-financial-operations-occupations,176,"1,125",98,"1,279",78,995,2011
Cost estimators,cost-estimators,business-and-financial-operations-occupations,106,"1,080",87,"1,117",19,-,2011
Human resources workers,human-resources-workers,business-and-financial-operations-occupations,522,938,116,"1,053",406,912,2011
"Compensation, benefits, and job analysis specialists",compensation-benefits-and-job-analysis-specialists,business-and-financial-operations-occupations,53,893,13,-,39,-,2011
Training and development specialists,training-and-development-specialists,business-and-financial-operations-occupations,117,"1,059",53,"1,260",64,951,2011
Logisticians,logisticians,business-and-financial-operations-occupations,77,864,50,938,27,-,2011
Management analysts,management-analysts,business-and-financial-operations-occupations,458,"1,355",250,"1,514",208,"1,174",2011
"Meeting, convention, and event planners",meeting-convention-and-event-planners,business-and-financial-operations-occupations,87,889,16,-,71,892,2011
Fundraisers,fundraisers,business-and-financial-operations-occupations,56,"1,064",14,-,42,-,2011
Market research analysts and marketing specialists,market-research-analysts-and-marketing-specialists,business-and-financial-operations-occupations,167,"1,157",66,"1,446",101,"1,029",2011
"Business operations specialists, all other",business-operations-specialists-all-other,business-and-financial-operations-occupations,238,991,88,"1,185",149,908,2011
Accountants and auditors,accountants-and-auditors,business-and-financial-operations-occupations,"1,383","1,056",532,"1,250",852,956,2011
Appraisers and assessors of real estate,appraisers-and-assessors-of-real-estate,business-and-financial-operations-occupations,50,990,30,-,20,-,2011
Budget analysts,budget-analysts,business-and-financial-operations-occupations,52,"1,174",22,-,30,-,2011
Credit analysts,credit-analysts,business-and-financial-operations-occupations,21,-,9,-,12,-,2011
Financial analysts,financial-analysts,business-and-financial-operations-occupations,63,"1,737",40,-,22,-,2011
Personal financial advisors,personal-financial-advisors,business-and-financial-operations-occupations,270,"1,239",173,"1,535",97,941,2011
Insurance underwriters,insurance-underwriters,business-and-financial-operations-occupations,108,970,44,-,64,939,2011
Financial examiners,financial-examiners,business-and-financial-operations-occupations,7,-,2,-,5,-,2011
Credit counselors and loan officers,credit-counselors-and-loan-officers,business-and-financial-operations-occupations,306,"1,024",147,"1,345",159,829,2011
"Tax examiners and collectors, and revenue agents",tax-examiners-and-collectors-and-revenue-agents,business-and-financial-operations-occupations,67,920,27,-,40,-,2011
Tax preparers,tax-preparers,business-and-financial-operations-occupations,55,701,13,-,41,-,2011
"Financial specialists, all other",financial-specialists-all-other,business-and-financial-operations-occupations,72,913,30,-,41,-,2011
Professional and related occupations,professional-and-related-occupations,management-professional-and-related-occupations,"23,730","1,029","10,592","1,211","13,139",919,2011
Computer and mathematical occupations,computer-and-mathematical-occupations,professional-and-related-occupations,"3,296","1,305","2,509","1,369",787,"1,126",2011
Computer and information research scientists,computer-and-information-research-scientists,computer-and-mathematical-occupations,19,-,17,-,2,-,2011
Computer systems analysts,computer-systems-analysts,computer-and-mathematical-occupations,373,"1,328",242,"1,410",132,"1,144",2011
Information security analysts,information-security-analysts,computer-and-mathematical-occupations,45,-,38,-,7,-,2011
Computer programmers,computer-programmers,computer-and-mathematical-occupations,411,"1,277",329,"1,330",83,"1,238",2011
"Software developers, applications and systems software",software-developers-applications-and-systems-software,computer-and-mathematical-occupations,990,"1,558",812,"1,606",179,"1,388",2011
Web developers,web-developers,computer-and-mathematical-occupations,117,"1,017",81,"1,033",35,-,2011
Computer support specialists,computer-support-specialists,computer-and-mathematical-occupations,434,915,326,896,107,951,2011
Database administrators,database-administrators,computer-and-mathematical-occupations,138,"1,238",90,"1,470",48,-,2011
Network and computer systems administrators,network-and-computer-systems-administrators,computer-and-mathematical-occupations,221,"1,180",172,"1,243",49,-,2011
Computer network architects,computer-network-architects,computer-and-mathematical-occupations,94,"1,441",81,"1,585",12,-,2011
"Computer occupations, all other",computer-occupations-all-other,computer-and-mathematical-occupations,282,"1,127",221,"1,165",61,998,2011
Actuaries,actuaries,computer-and-mathematical-occupations,17,-,12,-,5,-,2011
Mathematicians,mathematicians,computer-and-mathematical-occupations,2,-,1,-,1,-,2011
Operations research analysts,operations-research-analysts,computer-and-mathematical-occupations,116,"1,273",66,"1,258",51,"1,326",2011
Statisticians,statisticians,computer-and-mathematical-occupations,30,-,17,-,13,-,2011
Miscellaneous mathematical science occupations,miscellaneous-mathematical-science-occupations,computer-and-mathematical-occupations,6,-,5,-,2,-,2011
Architecture and engineering occupations,architecture-and-engineering-occupations,professional-and-related-occupations,"2,494","1,315","2,178","1,343",316,"1,140",2011
"Architects, except naval",architects-except-naval,architecture-and-engineering-occupations,113,"1,325",92,"1,351",21,-,2011
"Surveyors, cartographers, and photogrammetrists",surveyors-cartographers-and-photogrammetrists,architecture-and-engineering-occupations,31,-,26,-,5,-,2011
Aerospace engineers,aerospace-engineers,architecture-and-engineering-occupations,134,"1,621",119,"1,745",16,-,2011
Agricultural engineers,agricultural-engineers,architecture-and-engineering-occupations,1,-,1,-,0,-,2011
Biomedical engineers,biomedical-engineers,architecture-and-engineering-occupations,12,-,10,-,2,-,2011
Chemical engineers,chemical-engineers,architecture-and-engineering-occupations,73,"1,757",57,"1,885",16,-,2011
Civil engineers,civil-engineers,architecture-and-engineering-occupations,335,"1,398",289,"1,436",46,-,2011
Computer hardware engineers,computer-hardware-engineers,architecture-and-engineering-occupations,76,"1,528",66,"1,546",10,-,2011
Electrical and electronics engineers,electrical-and-electronics-engineers,architecture-and-engineering-occupations,283,"1,442",256,"1,455",26,-,2011
Environmental engineers,environmental-engineers,architecture-and-engineering-occupations,36,-,26,-,10,-,2011
"Industrial engineers, including health and safety",industrial-engineers-including-health-and-safety,architecture-and-engineering-occupations,178,"1,336",143,"1,356",34,-,2011
Marine engineers and naval architects,marine-engineers-and-naval-architects,architecture-and-engineering-occupations,6,-,6,-,1,-,2011
Materials engineers,materials-engineers,architecture-and-engineering-occupations,30,-,26,-,4,-,2011
Mechanical engineers,mechanical-engineers,architecture-and-engineering-occupations,306,"1,374",290,"1,399",16,-,2011
"Mining and geological engineers, including mining safety engineers",mining-and-geological-engineers-including-mining-safety-engineers,architecture-and-engineering-occupations,9,-,8,-,1,-,2011
Nuclear engineers,nuclear-engineers,architecture-and-engineering-occupations,23,-,20,-,2,-,2011
Petroleum engineers,petroleum-engineers,architecture-and-engineering-occupations,19,-,18,-,1,-,2011
"Engineers, all other",engineers-all-other,architecture-and-engineering-occupations,310,"1,366",275,"1,361",35,-,2011
